Nome,Matrícula,Ranking,Curso
Luisa,108482,10,Direito
Ana,123301,10,Matematica
Luisa,140446,10,Fisica
Flora,163541,10,Direito
Tiago,170800,10,Direito
Flora,170830,10,Letras
Rodrigo,174668,10,Fisica
Amanda,177649,10,Medicina
Marcia,196753,10,Odontologia
Maria,205080,10,Odontologia
Lucas,213354,10,Quimica
Pedro,214594,10,Quimica
Clara,227669,10,Administracao
Rodrigo,229258,10,Quimica
Pedro,232048,10,Medicina
Luisa,249531,10,Quimica
Celia,249976,10,Letras
Luisa,254376,10,Medicina
Rodrigo,258893,10,Medicina
Luisa,260241,10,Fisica
Clara,271433,10,Matematica
Lara,299798,10,Matematica
Lara,303170,10,Odontologia
Jose,304933,10,Fisica
Flora,313744,10,Quimica
Lucas,342197,10,Engenharia
Ana,346097,10,Quimica
Luisa,351853,10,Fisica
Joao,357860,10,Odontologia
Marcia,365873,10,Matematica
Marcia,368461,10,Direito
Zeca,389022,10,Administracao
Rodrigo,395149,10,Letras
Lara,399955,10,Engenharia
Celia,428482,10,Direito
Lucas,446651,10,Direito
Lara,451807,10,Direito
Rodrigo,467084,10,Medicina
Amanda,474727,10,Medicina
Lucas,478861,10,Direito
Tiago,494816,10,Administracao
Flora,508396,10,Medicina
Zeca,519869,10,Medicina
Amanda,525721,10,Fisica
Julia,534273,10,Administracao
Marcia,534275,10,Engenharia
Tiago,538183,10,Direito
Luis,538276,10,Odontologia
Marcia,538863,10,Matematica
Amanda,541666,10,Letras
Luisa,542147,10,Computacao
Julia,547005,10,Computacao
Lara,553868,10,Quimica
Julia,563464,10,Engenharia
Amanda,563544,10,Administracao
Flora,582811,10,Quimica
Joao,587246,10,Fisica
Luisa,591568,10,Engenharia
Lucia,598754,10,Fisica
Pedro,604062,10,Computacao
Joao,604862,10,Direito
Clara,609579,10,Direito
Marcia,613377,10,Computacao
Rodrigo,616711,10,Administracao
Jose,643106,10,Administracao
Maria,645339,10,Computacao
Luis,662647,10,Matematica
Ana,672590,10,Computacao
Celia,672998,10,Quimica
Jose,673379,10,Letras
Rodrigo,680319,10,Engenharia
Flora,692884,10,Fisica
Lucia,722783,10,Odontologia
Lucas,745379,10,Computacao
Marcia,748222,10,Direito
Julia,763464,10,Administracao
Luisa,768132,10,Odontologia
Rodrigo,781477,10,Odontologia
Clara,783730,10,Administracao
Ana,786005,10,Administracao
Lucas,799775,10,Computacao
Lara,803088,10,Matematica
Lara,807042,10,Matematica
Luisa,825623,10,Matematica
Marcos,827067,10,Computacao
Luis,832607,10,Computacao
Luisa,855549,10,Administracao
Lucas,874054,10,Matematica
Luisa,889178,10,Letras
Rodrigo,893102,10,Fisica
Clara,894656,10,Medicina
Zeca,896033,10,Matematica
Jose,921547,10,Letras
Julia,928397,10,Computacao
Joao,936398,10,Engenharia
Pedro,940251,10,Engenharia
Lucas,946779,10,Letras
Ana,952584,10,Engenharia
Pedro,961300,10,Medicina
Lucia,964097,10,Letras
Maria,967967,10,Medicina
Jose,970217,10,Fisica
Amanda,985404,10,Matematica
Luisa,998891,10,Matematica
Clara,110868,11,Direito
Clara,111917,11,Administracao
Celia,118982,11,Matematica
Zeca,127206,11,Quimica
Luis,131196,11,Matematica
Lara,133071,11,Quimica
Luis,147408,11,Computacao
Marcia,147988,11,Matematica
Luisa,180209,11,Matematica
Julia,191421,11,Quimica
Clara,195590,11,Quimica
Luisa,204016,11,Computacao
Luis,206844,11,Engenharia
Lucia,219018,11,Letras
Luisa,229224,11,Fisica
Joao,244698,11,Fisica
Marcos,255696,11,Matematica
Pedro,261803,11,Direito
Lucas,264469,11,Medicina
Luis,277023,11,Medicina
Luis,301188,11,Letras
Joao,302341,11,Fisica
Ana,304021,11,Direito
Marcos,313247,11,Medicina
Tiago,315621,11,Direito
Clara,316762,11,Matematica
Lucas,316764,11,Odontologia
Luisa,330919,11,Fisica
Pedro,370367,11,Medicina
Lucia,370612,11,Administracao
Maria,411276,11,Medicina
Jose,418041,11,Quimica
Tiago,428583,11,Administracao
Amanda,430461,11,Letras
Lucia,436304,11,Medicina
Jose,439593,11,Matematica
Rodrigo,478302,11,Medicina
Tiago,485435,11,Fisica
Marcia,492332,11,Fisica
Marcos,510305,11,Matematica
Lucas,514837,11,Engenharia
Clara,526966,11,Odontologia
Zeca,529237,11,Letras
Joao,531147,11,Administracao
Tiago,535403,11,Letras
Marcos,547501,11,Matematica
Joao,565460,11,Odontologia
Luis,570128,11,Letras
Luis,570738,11,Medicina
Clara,572848,11,Quimica
Pedro,594406,11,Engenharia
Flora,595210,11,Direito
Luis,599403,11,Matematica
Tiago,615370,11,Direito
Lucia,622161,11,Engenharia
Celia,636985,11,Direito
Jose,639547,11,Medicina
Luisa,645362,11,Letras
Clara,646138,11,Direito
Luisa,658094,11,Direito
Zeca,685464,11,Administracao
Jose,691560,11,Direito
Ana,712117,11,Direito
Luisa,735422,11,Letras
Celia,737603,11,Administracao
Luis,749676,11,Engenharia
Jose,751536,11,Medicina
Zeca,770561,11,Administracao
Julia,784113,11,Letras
Marcos,791687,11,Matematica
Ana,798784,11,Fisica
Lucas,804079,11,Administracao
Luis,804877,11,Computacao
Celia,811608,11,Fisica
Tiago,837173,11,Odontologia
Tiago,855069,11,Administracao
Marcia,857934,11,Engenharia
Julia,861276,11,Letras
Julia,870527,11,Quimica
Zeca,874136,11,Odontologia
Luisa,877817,11,Letras
Lucas,879698,11,Direito
Joao,885201,11,Letras
Luisa,900242,11,Quimica
Marcos,916483,11,Computacao
Luisa,922528,11,Computacao
Luis,922665,11,Engenharia
Joao,930679,11,Quimica
Julia,931330,11,Medicina
Marcia,935190,11,Administracao
Rodrigo,948224,11,Engenharia
Celia,955775,11,Direito
Tiago,956531,11,Fisica
Luisa,974835,11,Direito
Zeca,986147,11,Letras
Luis,998770,11,Medicina
Ana,106022,12,Matematica
Lara,123057,12,Administracao
Lucas,127047,12,Odontologia
Luisa,128482,12,Fisica
Tiago,138450,12,Direito
Celia,160320,12,Direito
Zeca,160372,12,Medicina
Celia,168129,12,Administracao
Celia,183334,12,Letras
Lucia,185735,12,Administracao
Julia,188684,12,Medicina
Lucia,191223,12,Quimica
Zeca,211336,12,Odontologia
Jose,214299,12,Computacao
Clara,219227,12,Medicina
Lucas,219342,12,Engenharia
Joao,220511,12,Engenharia
Celia,229670,12,Quimica
Jose,232781,12,Matematica
Ana,236822,12,Matematica
Zeca,274011,12,Letras
Lara,275715,12,Letras
Luisa,287442,12,Administracao
Luisa,334010,12,Engenharia
Pedro,336444,12,Medicina
Pedro,344358,12,Quimica
Lara,348240,12,Fisica
Tiago,348648,12,Medicina
Zeca,363845,12,Matematica
Julia,371789,12,Administracao
Celia,376394,12,Direito
Marcia,377024,12,Engenharia
Luisa,384824,12,Quimica
Pedro,393259,12,Administracao
Lucas,401210,12,Engenharia
Tiago,407154,12,Engenharia
Marcos,412382,12,Engenharia
Julia,430091,12,Direito
Marcos,434661,12,Quimica
Tiago,455846,12,Computacao
Zeca,457720,12,Odontologia
Lucas,469920,12,Quimica
Lara,476960,12,Medicina
Zeca,485554,12,Medicina
Lara,486642,12,Administracao
Rodrigo,492696,12,Medicina
Lucas,504637,12,Engenharia
Lucas,510932,12,Matematica
Marcia,513810,12,Quimica
Clara,515172,12,Direito
Pedro,517212,12,Letras
Pedro,522883,12,Fisica
Jose,523433,12,Computacao
Lucas,524905,12,Computacao
Ana,525118,12,Matematica
Maria,541255,12,Matematica
Celia,546841,12,Fisica
Marcos,554351,12,Quimica
Zeca,575904,12,Odontologia
Marcos,577999,12,Odontologia
Luisa,586503,12,Letras
Jose,587187,12,Odontologia
Lara,588813,12,Computacao
Julia,590318,12,Engenharia
Ana,590911,12,Administracao
Jose,592585,12,Direito
Luisa,596744,12,Medicina
Lucia,599488,12,Letras
Amanda,601950,12,Engenharia
Lara,613441,12,Computacao
Marcos,634044,12,Computacao
Lucas,640283,12,Fisica
Jose,642446,12,Odontologia
Marcia,671044,12,Engenharia
Marcos,682603,12,Medicina
Flora,683994,12,Computacao
Julia,690218,12,Medicina
Julia,699183,12,Letras
Marcia,702440,12,Medicina
Pedro,730106,12,Computacao
Lucia,744671,12,Fisica
Rodrigo,748818,12,Letras
Pedro,749753,12,Quimica
Maria,765599,12,Engenharia
Julia,792086,12,Matematica
Marcos,803917,12,Matematica
Lucas,809853,12,Medicina
Clara,810325,12,Odontologia
Amanda,811892,12,Engenharia
Joao,818424,12,Letras
Clara,820266,12,Direito
Rodrigo,824880,12,Letras
Clara,853878,12,Fisica
Maria,856644,12,Matematica
Jose,857526,12,Direito
Julia,860308,12,Quimica
Lara,874244,12,Quimica
Luis,879086,12,Matematica
Clara,889162,12,Letras
Jose,891636,12,Letras
Lucia,897858,12,Engenharia
Pedro,904972,12,Computacao
Julia,910412,12,Administracao
Clara,922967,12,Matematica
Luis,929414,12,Direito
Ana,932402,12,Fisica
Lucia,933874,12,Odontologia
Luisa,939534,12,Quimica
Zeca,949289,12,Engenharia
Flora,974971,12,Odontologia
Maria,978605,12,Fisica
Lucia,994809,12,Computacao
Pedro,101010,13,Engenharia
Lucas,104007,13,Direito
Lara,108275,13,Direito
Lucas,111410,13,Odontologia
Joao,122385,13,Medicina
Jose,137825,13,Computacao
Marcia,165265,13,Engenharia
Lucia,165580,13,Computacao
Marcia,168445,13,Administracao
Tiago,168654,13,Matematica
Luis,172803,13,Medicina
Rodrigo,181928,13,Letras
Julia,187884,13,Fisica
Joao,218312,13,Direito
Amanda,218518,13,Medicina
Rodrigo,220566,13,Engenharia
Clara,227188,13,Matematica
Celia,234644,13,Engenharia
Rodrigo,234938,13,Administracao
Flora,235226,13,Direito
Celia,242814,13,Administracao
Luisa,258460,13,Quimica
Zeca,283588,13,Fisica
Tiago,295779,13,Engenharia
Luis,333800,13,Computacao
Luis,346131,13,Odontologia
Lucia,361456,13,Odontologia
Julia,364506,13,Odontologia
Tiago,364680,13,Quimica
Ana,373365,13,Odontologia
Celia,377304,13,Fisica
Maria,386445,13,Letras
Jose,386622,13,Direito
Marcos,400539,13,Matematica
Jose,410444,13,Odontologia
Amanda,415669,13,Medicina
Lara,422572,13,Matematica
Tiago,441744,13,Fisica
Lara,444846,13,Medicina
Lara,456450,13,Computacao
Marcos,462442,13,Letras
Jose,478885,13,Administracao
Marcos,485446,13,Direito
Maria,487823,13,Fisica
Marcia,497203,13,Engenharia
Celia,525207,13,Administracao
Celia,532891,13,Direito
Celia,534679,13,Matematica
Luisa,541909,13,Engenharia
Clara,549774,13,Engenharia
Celia,555222,13,Administracao
Marcia,559379,13,Odontologia
Marcos,560498,13,Computacao
Julia,560667,13,Matematica
Pedro,566686,13,Direito
Amanda,581207,13,Medicina
Joao,590308,13,Direito
Tiago,594369,13,Fisica
Rodrigo,594989,13,Fisica
Pedro,598468,13,Quimica
Rodrigo,610616,13,Odontologia
Flora,612946,13,Medicina
Rodrigo,618900,13,Odontologia
Marcos,624962,13,Quimica
Ana,627045,13,Medicina
Flora,637985,13,Odontologia
Amanda,647168,13,Quimica
Jose,656136,13,Odontologia
Joao,675649,13,Odontologia
Pedro,679112,13,Fisica
